Title,genres,Director,Actors
Enemy at the Gates,Drama|War,Jean-Jacques Annaud,"Jude Law, Ed Harris, Rachel Weisz, Joseph Fiennes"
Shrek,Adventure|Animation|Children|Comedy|Fantasy|Romance,"Andrew Adamson, Vicky Jenson","Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow"
Moulin Rouge,Drama|Musical|Romance,John Huston,"José Ferrer, Zsa Zsa Gabor, Suzanne Flon, Claude Nollier"
Pearl Harbor,Action|Drama|Romance|War,Michael Bay,"Ben Affleck, Josh Hartnett, Kate Beckinsale, William Lee Scott"
Evolution,Comedy|Sci-Fi,Ivan Reitman,"David Duchovny, Julianne Moore, Orlando Jones, Seann William Scott"
Swordfish,Action|Crime|Drama,Dominic Sena,"John Travolta, Hugh Jackman, Halle Berry, Don Cheadle"
A.I. Artificial Intelligence,Adventure|Drama|Sci-Fi,Steven Spielberg,"Haley Joel Osment, Frances O'Connor, Sam Robards, Jake Thomas"
Final Fantasy: The Spirits Within,Adventure|Animation|Fantasy|Sci-Fi,"Hironobu Sakaguchi, Motonori Sakakibara(co-director)","Ming-Na Wen, Alec Baldwin, Ving Rhames, Steve Buscemi"
Captain Corelli's Mandolin,Drama|Romance|War,John Madden,"Penélope Cruz, John Hurt, Christian Bale, Irene Papas"
Rat Race,Comedy,Jerry Zucker,"Breckin Meyer, Jenica Bergere, Cuba Gooding Jr., Carrie Diamond"
Don't Say a Word,Thriller,Gary Fleder,"Michael Douglas, Sean Bean, Brittany Murphy, Skye McCole Bartusiak"
Zoolander,Comedy,Ben Stiller,"Ben Stiller, Owen Wilson, Christine Taylor, Will Ferrell"
K-PAX,Drama|Fantasy|Mystery|Sci-Fi,Iain Softley,"Kevin Spacey, Jeff Bridges, Mary McCormack, Alfre Woodard"
Life as a House,Drama,Irwin Winkler,"Kevin Kline, Kristin Scott Thomas, Hayden Christensen, Jena Malone"
"Monsters, Inc.",Adventure|Animation|Children|Comedy|Fantasy,"Pete Docter, David Silverman(co-director), Lee Unkrich(co-director)","John Goodman, Billy Crystal, Mary Gibbs, Steve Buscemi"
Tape,Drama,Richard Linklater,"Ethan Hawke, Robert Sean Leonard, Uma Thurman"
Heist,Crime|Drama,David Mamet,"Gene Hackman, Danny DeVito, Delroy Lindo, Sam Rockwell"
In the Bedroom,Drama,Todd Field,"Tom Wilkinson, Sissy Spacek, Nick Stahl, Marisa Tomei"
Amelie,Comedy|Romance,"Aurore Damant, Aurore Deman",Marie Carrour
Vanilla Sky,Mystery|Romance|Sci-Fi|Thriller,Cameron Crowe,"Tom Cruise, Penélope Cruz, Cameron Diaz, Kurt Russell"
Iris,Drama,Richard Eyre,"Kate Winslet, Hugh Bonneville, Judi Dench, Jim Broadbent"
Lantana,Drama|Mystery|Thriller,Ray Lawrence,"Anthony LaPaglia, Rachael Blake, Kerry Armstrong, Manu Bennett"
Charlotte Gray,Drama|Romance,Gillian Armstrong,"Cate Blanchett, James Fleet, Abigail Cruttenden, Charlotte McDougall"
John Q,Crime|Drama|Thriller,Nick Cassavetes,"Gabriela Oltean, Denzel Washington, Kimberly Elise, Ron Annabelle"
Monsoon Wedding,Comedy|Romance,Mira Nair,"Naseeruddin Shah, Lillete Dubey, Shefali Shah, Vijay Raaz"
We Were Soldiers,Action|Drama|War,Randall Wallace,"Mel Gibson, Madeleine Stowe, Greg Kinnear, Sam Elliott"
Panic Room,Thriller,David Fincher,"Jodie Foster, Kristen Stewart, Forest Whitaker, Dwight Yoakam"
Changing Lanes,Drama|Thriller,Roger Michell,"Ben Affleck, Samuel L. Jackson, Kim Staunton, Toni Collette"
Spider-Man,Action|Adventure|Sci-Fi|Thriller,Sam Raimi,"Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco"
Star Wars: Episode II - Attack of the Clones,Action|Adventure|Sci-Fi|IMAX,George Lucas,"Ewan McGregor, Natalie Portman, Hayden Christensen, Christopher Lee"
Insomnia,Action|Crime|Drama|Mystery|Thriller,Christopher Nolan,"Al Pacino, Martin Donovan, Oliver 'Ole' Zemen, Hilary Swank"
Windtalkers,Action|Drama|War,John Woo,"Nicolas Cage, Adam Beach, Peter Stormare, Noah Emmerich"
Minority Report,Action|Crime|Mystery|Sci-Fi|Thriller,Steven Spielberg,"Tom Cruise, Max von Sydow, Steve Harris, Neal McDonough"
Rumble in the Bronx,Action|Adventure|Comedy|Crime,Stanley Tong,"Jackie Chan, Anita Mui, Françoise Yip, Bill Tung"
Batman Forever,Action|Adventure|Comedy|Crime,Joel Schumacher,"Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman"
Desperado,Action|Romance|Western,Robert Rodriguez,"Antonio Banderas, Salma Hayek, Joaquim de Almeida, Cheech Marin"
Die Hard: With a Vengeance,Action|Crime|Thriller,John McTiernan,"Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene"
First Knight,Action|Drama|Romance,Jerry Zucker,"Sean Connery, Richard Gere, Julia Ormond, Ben Cross"
Hot Shots! Part Deux,Action|Comedy|War,Jim Abrahams,"Charlie Sheen, Lloyd Bridges, Valeria Golino, Richard Crenna"
Dead Man,Drama|Mystery|Western,Jim Jarmusch,"Johnny Depp, Gary Farmer, Crispin Glover, Lance Henriksen"
Die Hard 2,Action|Adventure|Thriller,Renny Harlin,"Bruce Willis, Bonnie Bedelia, William Atherton, Reginald VelJohnson"
Batman Returns,Action|Crime,Tim Burton,"Michael Keaton, Danny DeVito, Michelle Pfeiffer, Christopher Walken"
Donnie Brasco,Crime|Drama,Mike Newell,"Al Pacino, Johnny Depp, Michael Madsen, Bruno Kirby"
Liar Liar,Comedy,Tom Shadyac,"Jim Carrey, Maura Tierney, Justin Cooper, Cary Elwes"
Grosse Pointe Blank,Comedy|Crime|Romance,George Armitage,"John Cusack, Minnie Driver, Alan Arkin, Dan Aykroyd"
City of Angels,Drama|Fantasy|Romance,Brad Silberling,"Nicolas Cage, Meg Ryan, Andre Braugher, Dennis Franz"
Cube,Horror|Mystery|Sci-Fi|Thriller,Vincenzo Natali,"Nicole de Boer, Nicky Guadagni, David Hewlett, Andrew Miller"
Enemy of the State,Action|Thriller,Tony Scott,"Will Smith, Gene Hackman, Jon Voight, Lisa Bonet"
Wing Commander,Action|Sci-Fi,Chris Roberts,"Freddie Prinze Jr., Saffron Burrows, Matthew Lillard, Tchéky Karyo"
Ravenous,Horror|Thriller,Antonia Bird,"Guy Pearce, Robert Carlyle, David Arquette, Jeremy Davies"
Charlie's Angels,Action|Comedy,McG,"Cameron Diaz, Drew Barrymore, Lucy Liu, Bill Murray"
Dungeons & Dragons,Action|Adventure|Comedy|Fantasy,Courtney Solomon,"Jeremy Irons, Bruce Payne, Justin Whalin, Marlon Wayans"
Valentine,Horror|Mystery,Jamie Blanks,"Denise Richards, David Boreanaz, Marley Shelton, Jessica Capshaw"
American Pie 2,Comedy,J.B. Rogers,"Jason Biggs, Shannon Elizabeth, Alyson Hannigan, Chris Klein"
Training Day,Crime|Drama|Thriller,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger"
Donnie Darko,Drama|Mystery|Sci-Fi|Thriller,Richard Kelly,"Jake Gyllenhaal, Holmes Osborne, Maggie Gyllenhaal, Daveigh Chase"
Behind Enemy Lines,Action|Drama|War,John Moore,"Owen Wilson, Gene Hackman, Gabriel Macht, Charles Malik Whitfield"
Storytelling,Comedy|Drama,Todd Solondz,"Selma Blair, Leo Fitzpatrick, Robert Wisdom, Maria Thayer"
Spirited Away,Adventure|Animation|Fantasy,"Hayao Miyazaki, Kirk Wise","Rumi Hiiragi, Miyu Irino, Mari Natsuki, Takashi Naitô"
Sweet Home Alabama,Comedy|Romance,Andy Tennant,"Reese Witherspoon, Josh Lucas, Patrick Dempsey, Candice Bergen"
Swept Away,Comedy|Romance,Guy Ritchie,"Bruce Greenwood, Madonna, Elizabeth Banks, Michael Beattie"
Equilibrium,Action|Sci-Fi|Thriller,Kurt Wimmer,"Christian Bale, Dominic Purcell, Sean Bean, Christian Kahrmann"
Master and Commander: The Far Side of the World,Adventure|Drama|War,Peter Weir,"Russell Crowe, Paul Bettany, James D'Arcy, Edward Woodall"
Battle Royale,Action|Drama|Horror|Thriller,Kinji Fukasaku,"Tatsuya Fujiwara, Aki Maeda, Tarô Yamamoto, Takeshi Kitano"
Girl with a Pearl Earring,Drama|Romance,Peter Webber,"Colin Firth, Scarlett Johansson, Tom Wilkinson, Judy Parfitt"
Dawn of the Dead,Action|Drama|Horror|Thriller,Zack Snyder,"Sarah Polley, Ving Rhames, Jake Weber, Mekhi Phifer"
Hellboy,Action|Adventure|Fantasy|Horror,Guillermo del Toro,"Ron Perlman, John Hurt, Selma Blair, Rupert Evans"
Van Helsing,Action|Adventure|Fantasy|Horror,Stephen Sommers,"Hugh Jackman, Kate Beckinsale, Richard Roxburgh, David Wenham"
Samsara,Adventure|Drama|Romance,Ron Fricke,"Balinese Tari Legong Dancers, Ni Made Megahadi Pratiwi, Puti Sri Candra Dewi, Putu Dinda Pratika"
Catwoman,Action|Crime|Fantasy,Pitof,"Halle Berry, Benjamin Bratt, Sharon Stone, Lambert Wilson"
Suspect Zero,Crime|Thriller,E. Elias Merhige,"Aaron Eckhart, Ben Kingsley, Carrie-Anne Moss, Harry Lennix"
Riding the Bullet,Horror|Thriller,Mick Garris,"Jonathan Jackson, David Arquette, Cliff Robertson, Barbara Hershey"
Saw,Horror|Mystery|Thriller,James Wan,"Leigh Whannell, Cary Elwes, Danny Glover, Ken Leung"
Casshern,Action|Drama|Fantasy|Sci-Fi,Kazuaki Kiriya,"Yûsuke Iseya, Kumiko Asô, Akira Terao, Kanako Higuchi"
Elektra,Action|Adventure|Crime|Drama,Rob Bowman,"Jennifer Garner, Goran Visnjic, Kirsten Zien, Will Yun Lee"
Alone in the Dark,Action|Horror|Sci-Fi|Thriller,Uwe Boll,"Christian Slater, Tara Reid, Stephen Dorff, Frank C. Turner"
Boogeyman,Drama|Horror|Mystery|Thriller,Stephen Kay,"Barry Watson, Emily Deschanel, Skye McCole Bartusiak, Tory Mussett"
Kingdom of Heaven,Action|Drama|Romance|War,Ridley Scott,"Martin Hancock, Michael Sheen, Nathalie Cox, Eriq Ebouaney"
Crash,Crime|Drama,Paul Haggis,"Karina Arroyave, Dato Bakhtadze, Sandra Bullock, Don Cheadle"
Unleashed,Action|Crime|Drama|Thriller,Louis Leterrier,"Jet Li, Morgan Freeman, Bob Hoskins, Kerry Condon"
Batman Begins,Action|Crime|IMAX,Christopher Nolan,"Christian Bale, Michael Caine, Liam Neeson, Katie Holmes"
Serenity,Action|Adventure|Sci-Fi,Joss Whedon,"Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin"
Saw II,Horror|Thriller,Darren Lynn Bousman,"Tobin Bell, Shawnee Smith, Donnie Wahlberg, Erik Knudsen"
King Kong,Action|Adventure|Drama|Fantasy|Thriller,Peter Jackson,"Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann"
Casino,Crime|Drama,Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods"
Ace Ventura: When Nature Calls,Comedy,Steve Oedekerk,"Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi"
Friday,Comedy,F. Gary Gray,"Ice Cube, Chris Tucker, Nia Long, Tommy 'Tiny' Lister"
Congo,Action|Adventure|Mystery|Sci-Fi,Frank Marshall,"Laura Linney, Dylan Walsh, Ernie Hudson, Tim Curry"
Léon: The Professional,Action|Crime|Drama|Thriller,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello"
Ace Ventura: Pet Detective,Comedy,Tom Shadyac,"Jim Carrey, Courteney Cox, Sean Young, Tone Loc"
Street Fighter,Action|Adventure|Fantasy,Steven E. de Souza,"Jean-Claude Van Damme, Raul Julia, Ming-Na Wen, Damian Chapa"
Airheads,Comedy,Michael Lehmann,"Brendan Fraser, Steve Buscemi, Adam Sandler, Chris Farley"
Aladdin,Adventure|Animation|Children|Comedy|Musical,"Ron Clements, John Musker","Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman"
Terminator 2: Judgment Day,Action|Sci-Fi,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick"
Sgt. Bilko,Comedy,Jonathan Lynn,"Steve Martin, Dan Aykroyd, Phil Hartman, Glenne Headly"
Trainspotting,Comedy|Crime|Drama,Danny Boyle,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd"
Goodfellas,Crime|Drama,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco"
Jingle All the Way,Children|Comedy,Brian Levant,"Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson"
Contact,Drama|Sci-Fi,Robert Zemeckis,"Jena Malone, David Morse, Jodie Foster, Geoffrey Blake"
Fireworks,Crime|Drama,Takeshi Kitano,"Takeshi Kitano, Kayoko Kishimoto, Ren Osugi, Susumu Terajima"
X-Men,Action|Adventure|Sci-Fi,Bryan Singer,"Hugh Jackman, Patrick Stewart, Ian McKellen, Famke Janssen"
Amores Perros,Drama|Thriller,Alejandro G. Iñárritu,"Emilio Echevarría, Gael García Bernal, Goya Toledo, Álvaro Guerrero"
City of God,Action|Adventure|Crime|Drama|Thriller,"Fernando Meirelles, Kátia Lund(co-director)","Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva"
Eternal Sunshine of the Spotless Mind,Drama|Romance|Sci-Fi,Michel Gondry,"Jim Carrey, Kate Winslet, Gerry Robert Byrne, Elijah Wood"
Bad Education,Drama|Thriller,Pedro Almodóvar,"Gael García Bernal, Fele Martínez, Daniel Giménez Cacho, Lluís Homar"
Volver,Comedy|Drama,Pedro Almodóvar,"Penélope Cruz, Carmen Maura, Lola Dueñas, Blanca Portillo"
American Gangster,Crime|Drama|Thriller,Ridley Scott,"Denzel Washington, Russell Crowe, Chiwetel Ejiofor, Josh Brolin"
No Country for Old Men,Crime|Drama,"Ethan Coen, Joel Coen","Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson"
Jumanji,Adventure|Children|Fantasy,Joe Johnston,"Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce"
Balto,Adventure|Animation|Children,Simon Wells,"Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings"
Babe,Children|Drama,Chris Noonan,"Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving"
Pocahontas,Animation|Children|Drama|Musical|Romance,"Mike Gabriel, Eric Goldberg","Joe Baker, Christian Bale, Irene Bedard, Billy Connolly"
Rob Roy,Action|Drama|Romance|War,Michael Caton-Jones,"Liam Neeson, Jessica Lange, John Hurt, Tim Roth"
Casper,Adventure|Children,Brad Silberling,"Chauncey Leopardi, Spencer Vrooman, Malachi Pearson, Cathy Moriarty"
Free Willy 2: The Adventure Home,Adventure|Children|Drama,Dwight H. Little,"Jason James Richter, Francis Capra, Mary Kate Schellhardt, August Schellenberg"
Mighty Morphin Power Rangers: The Movie,Action|Children,Bryan Spicer,"Karan Ashley, Johnny Yong Bosch, Steve Cardenas, Jason David Frank"
Nine Months,Comedy|Romance,Chris Columbus,"Hugh Grant, Julianne Moore, Tom Arnold, Joan Cusack"
Bushwhacked,Adventure|Comedy|Crime|Mystery,Greg Beeman,"Daniel Stern, Jon Polito, Brad Sullivan, Ann Dowd"
Junior,Comedy|Sci-Fi,Ivan Reitman,"Arnold Schwarzenegger, Danny DeVito, Emma Thompson, Frank Langella"
Nell,Drama,Michael Apted,"Jodie Foster, Liam Neeson, Natasha Richardson, Richard Libertini"
While You Were Sleeping,Comedy|Romance,Jon Turteltaub,"Sandra Bullock, Bill Pullman, Peter Gallagher, Peter Boyle"
Clear and Present Danger,Action|Crime|Drama|Thriller,Phillip Noyce,"Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida"
Speed,Action|Romance|Thriller,Jan de Bont,"Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton"
True Lies,Action|Adventure|Comedy|Romance|Thriller,James Cameron,"Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Bill Paxton"
Cliffhanger,Action|Adventure|Thriller,Renny Harlin,"Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner"
Free Willy,Adventure|Children|Drama,Simon Wincer,"Jason James Richter, Lori Petty, Jayne Atkinson, August Schellenberg"
Mrs. Doubtfire,Comedy|Drama,Chris Columbus,"Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein"
Home Alone,Children|Comedy,Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard"
Ghost,Comedy|Drama|Fantasy|Romance|Thriller,Jerry Zucker,"Patrick Swayze, Demi Moore, Tony Goldwyn, Stanley Lawrence"
Beauty and the Beast,Animation|Children|Fantasy|Musical|Romance|IMAX,"Gary Trousdale, Kirk Wise","Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury"
Pretty Woman,Comedy|Romance,Garry Marshall,"Richard Gere, Julia Roberts, Ralph Bellamy, Jason Alexander"
James and the Giant Peach,Adventure|Animation|Children|Fantasy|Musical,Henry Selick,"Simon Callow, Richard Dreyfuss, Jane Leeves, Joanna Lumley"
Space Jam,Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,Joe Pytka,"Michael Jordan, Wayne Knight, Theresa Randle, Manner Washington"
Flipper,Adventure|Children,Alan Shapiro,"Elijah Wood, Paul Hogan, Jonathan Banks, Robert Deacon"
Multiplicity,Comedy,Harold Ramis,"Michael Keaton, Andie MacDowell, Zack Duhame, Katie Schlossberg"
Twister,Action|Adventure|Romance|Thriller,Jan de Bont,"Helen Hunt, Bill Paxton, Cary Elwes, Jami Gertz"
Phenomenon,Drama|Romance,Jon Turteltaub,"John Travolta, Kyra Sedgwick, Forest Whitaker, Robert Duvall"
Kazaam,Children|Comedy|Fantasy,Paul Michael Glaser,"Shaquille O'Neal, Francis Capra, Ally Walker, James Acheson"
Matilda,Children|Comedy|Fantasy,Danny DeVito,"Mara Wilson, Danny DeVito, Rhea Perlman, Embeth Davidtz"
Homeward Bound: The Incredible Journey,Adventure|Children|Drama,Duwayne Dunham,"Don Alder, Ed Bernard, Kevin Chevalia, Anne Christianson"
Cool Runnings,Comedy,Jon Turteltaub,"Leon, Doug E. Doug, Rawle D. Lewis, Malik Yoba"
101 Dalmatians,Adventure|Children|Comedy,"Clyde Geronimi, Hamilton Luske, Wolfgang Reitherman","Rod Taylor, J. Pat O'Malley, Betty Lou Gerson, Martha Wentworth"
Jerry Maguire,Drama|Romance,Cameron Crowe,"Tom Cruise, Cuba Gooding Jr., Renée Zellweger, Kelly Preston"
That Thing You Do!,Comedy|Drama,Tom Hanks,"Tom Everett Scott, Liv Tyler, Johnathon Schaech, Steve Zahn"
Fried Green Tomatoes,Comedy|Crime|Drama,Jon Avnet,"Kathy Bates, Mary Stuart Masterson, Mary-Louise Parker, Jessica Tandy"
Speed 2: Cruise Control,Action|Romance|Thriller,Jan de Bont,"Sandra Bullock, Jason Patric, Willem Dafoe, Temuera Morrison"
What Dreams May Come,Adventure|Drama|Fantasy|Romance,Vincent Ward,"Robin Williams, Cuba Gooding Jr., Annabella Sciorra, Max von Sydow"
October Sky,Drama,Joe Johnston,"Jake Gyllenhaal, Chris Cooper, Laura Dern, Chris Owen"
Patriot Games,Action|Crime|Drama|Thriller,Phillip Noyce,"Harrison Ford, Anne Archer, Patrick Bergin, Sean Bean"
Of Mice and Men,Drama,Gary Sinise,"John Malkovich, Gary Sinise, Ray Walston, Casey Siemaszko"
Saving Grace,Comedy,Nigel Cole,"Brenda Blethyn, Craig Ferguson, Martin Clunes, Tchéky Karyo"
Death to Smoochy,Comedy|Crime|Drama,Danny DeVito,"Robin Williams, Edward Norton, Catherine Keener, Danny DeVito"
About a Boy,Comedy|Drama|Romance,"Chris Weitz, Paul Weitz","Hugh Grant, Nicholas Hoult, Sharon Small, Madison Cook"
Harry Potter and the Chamber of Secrets,Adventure|Fantasy,Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Griffiths"
Catch Me If You Can,Crime|Drama,Steven Spielberg,"Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen"
Finding Nemo,Adventure|Animation|Children|Comedy,"Andrew Stanton, Lee Unkrich(co-director)","Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe"
Radio,Drama,Michael Tollin,"Cuba Gooding Jr., Ed Harris, Alfre Woodard, S. Epatha Merkerson"
Finding Neverland,Drama,Marc Forster,"Johnny Depp, Kate Winslet, Julie Christie, Radha Mitchell"
Brokeback Mountain,Drama|Romance,Ang Lee,"Heath Ledger, Jake Gyllenhaal, Randy Quaid, Valerie Planche"
Thank You for Smoking,Comedy|Drama,Jason Reitman,"Joan Lunden, Eric Haberman, Aaron Eckhart, Mary Jo Smith"
Beerfest,Comedy,Jay Chandrasekhar,"M.C. Gainey, Paul Soter, Erik Stolhanske, Cloris Leachman"
1408,Drama|Horror|Thriller,Mikael Håfström,"John Cusack, Tony Shalhoub, Len Cariou, Isiah Whitlock Jr."
Into the Wild,Action|Adventure|Drama,Sean Penn,"Emile Hirsch, Marcia Gay Harden, William Hurt, Jena Malone"
There Will Be Blood,Drama|Western,Paul Thomas Anderson,"Daniel Day-Lewis, Martin Stringer, Matthew Braden Stringer, Jacob Stringer"
Twilight,Drama|Fantasy|Romance|Thriller,Catherine Hardwicke,"Kristen Stewart, Sarah Clarke, Matt Bushell, Billy Burke"
Coraline,Animation|Fantasy|Thriller,Henry Selick,"Dakota Fanning, Teri Hatcher, Jennifer Saunders, Dawn French"
Up,Adventure|Animation|Children|Drama,"Pete Docter, Bob Peterson(co-director)","Edward Asner, Christopher Plummer, Jordan Nagai, Bob Peterson"
Cloudy with a Chance of Meatballs,Animation|Children|Fantasy|IMAX,"Phil Lord, Christopher Miller","Bill Hader, Anna Faris, James Caan, Andy Samberg"
Alice in Wonderland,Adventure|Fantasy|IMAX,Tim Burton,"Johnny Depp, Mia Wasikowska, Helena Bonham Carter, Anne Hathaway"
How to Train Your Dragon,Adventure|Animation|Children|Fantasy|IMAX,"Dean DeBlois, Chris Sanders","Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera"
Despicable Me,Animation|Children|Comedy|Crime,"Pierre Coffin, Chris Renaud","Steve Carell, Jason Segel, Russell Brand, Julie Andrews"
Inception,Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy"
127 Hours,Adventure|Drama|Thriller,Danny Boyle,"James Franco, Kate Mara, Amber Tamblyn, Sean Bott"
Harry Potter and the Deathly Hallows: Part 1,Action|Adventure|Fantasy|IMAX,David Yates,"Bill Nighy, Emma Watson, Richard Griffiths, Harry Melling"
Harry Potter and the Deathly Hallows: Part 2,Action|Adventure|Drama|Fantasy|Mystery|IMAX,David Yates,"Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe"
Austin Powers: International Man of Mystery,Action|Adventure|Comedy,Jay Roach,"Mike Myers, Elizabeth Hurley, Michael York, Mimi Rogers"
Sphere,Sci-Fi|Thriller,Barry Levinson,"Dustin Hoffman, Sharon Stone, Samuel L. Jackson, Peter Coyote"
As Good as It Gets,Comedy|Drama|Romance,James L. Brooks,"Jack Nicholson, Helen Hunt, Greg Kinnear, Cuba Gooding Jr."
Meet Joe Black,Romance,Martin Brest,"Brad Pitt, Anthony Hopkins, Claire Forlani, Jake Weber"
Notting Hill,Comedy|Romance,Roger Michell,"Julia Roberts, Hugh Grant, Richard McCabe, Rhys Ifans"
Bicentennial Man,Drama|Romance|Sci-Fi,Chris Columbus,"Robin Williams, Embeth Davidtz, Sam Neill, Oliver Platt"
Scent of a Woman,Drama,Martin Brest,"Al Pacino, Chris O'Donnell, James Rebhorn, Gabrielle Anwar"
Billy Elliot,Drama,Stephen Daldry,"Jamie Bell, Jean Heywood, Jamie Draven, Gary Lewis"
Pay It Forward,Drama,Mimi Leder,"Kevin Spacey, Helen Hunt, Haley Joel Osment, Jay Mohr"
What Women Want,Comedy|Romance,Nancy Meyers,"Mel Gibson, Helen Hunt, Marisa Tomei, Alan Alda"
Waking Life,Animation|Drama|Fantasy,Richard Linklater,"Trevor Jack Brooks, Lorelei Linklater, Wiley Wiggins, Glover Gill"
I Am Sam,Drama,Jessie Nelson,"Sean Penn, Michelle Pfeiffer, Dakota Fanning, Dianne Wiest"
